disease,severity,tmean_c,rain_7d_mm,humidity_pct,risk_level
leaf_curl,mild,23.1,7.84,80.8,HIGH
anthracnose,severe,25.54,10.17,83.0,CRITICAL
mosaic,severe,22.6,32.99,62.0,MEDIUM
leaf_curl,moderate,33.33,39.53,72.6,CRITICAL
mites,mild,29.47,7.79,51.0,MEDIUM
mites,moderate,25.8,16.51,66.4,MEDIUM
mosaic,mild,30.02,21.96,63.1,MEDIUM
mosaic,mild,31.12,7.68,58.6,HIGH
leaf_curl,moderate,27.21,7.36,69.1,CRITICAL
mites,mild,31.44,7.04,67.0,MEDIUM
anthracnose,mild,32.42,17.61,93.8,LOW
leaf_curl,severe,27.38,13.83,74.8,CRITICAL
mosaic,moderate,23.85,3.82,55.4,HIGH
leaf_curl,severe,26.63,54.94,82.9,CRITICAL
mites,moderate,28.04,16.1,52.0,HIGH
mosaic,mild,30.97,11.33,83.3,MEDIUM
mites,moderate,28.33,2.44,80.5,CRITICAL
leaf_curl,moderate,31.41,5.99,93.8,HIGH
mosaic,severe,30.66,17.92,45.2,CRITICAL
anthracnose,mild,29.04,4.17,81.6,MEDIUM
anthracnose,severe,27.8,57.14,59.1,CRITICAL
mosaic,moderate,27.29,10.49,72.0,HIGH
leaf_curl,severe,33.27,36.9,70.7,CRITICAL
anthracnose,severe,26.7,5.01,82.0,CRITICAL
leaf_curl,moderate,21.4,18.97,73.6,HIGH
mosaic,severe,33.48,31.02,66.0,CRITICAL
leaf_curl,moderate,31.74,22.21,75.0,CRITICAL
anthracnose,severe,26.58,26.96,96.4,CRITICAL
mites,mild,33.95,11.93,62.2,MEDIUM
mites,severe,31.35,9.51,51.7,CRITICAL
leaf_curl,moderate,34.45,6.66,76.0,CRITICAL
mites,severe,33.27,11.16,79.5,CRITICAL
mosaic,severe,31.43,3.34,80.3,CRITICAL
leaf_curl,moderate,31.29,60.32,82.4,CRITICAL
mites,severe,25.8,4.91,75.0,CRITICAL
mosaic,moderate,24.87,4.38,55.9,HIGH
mites,severe,24.07,3.01,72.6,CRITICAL
anthracnose,moderate,23.3,12.95,79.3,MEDIUM
mosaic,severe,28.82,18.18,62.8,CRITICAL
mosaic,moderate,29.01,10.07,72.7,HIGH
anthracnose,severe,24.88,11.28,79.4,HIGH
mosaic,moderate,24.11,9.22,56.1,HIGH
mites,mild,25.93,23.77,41.8,LOW
mites,moderate,31.77,1.85,60.4,CRITICAL
anthracnose,severe,32.01,33.85,82.5,HIGH
mites,moderate,33.68,54.57,65.9,MEDIUM
mosaic,severe,26.72,3.74,61.6,CRITICAL
anthracnose,mild,30.52,112.6,84.4,HIGH
mites,severe,33.08,18.87,47.1,CRITICAL
anthracnose,mild,29.19,13.0,80.5,MEDIUM
anthracnose,severe,25.47,13.59,72.9,HIGH
leaf_curl,moderate,34.21,79.29,81.4,HIGH
mosaic,severe,24.75,3.16,64.1,CRITICAL
mosaic,mild,24.42,20.69,69.7,MEDIUM
mosaic,severe,27.57,2.33,71.8,CRITICAL
leaf_curl,mild,34.61,68.47,90.6,MEDIUM
anthracnose,moderate,28.57,44.78,76.0,HIGH
leaf_curl,mild,31.25,6.41,69.7,HIGH
mites,moderate,28.59,13.27,57.0,HIGH
mites,mild,33.21,22.88,59.8,MEDIUM
mites,severe,28.7,1.03,71.8,CRITICAL
leaf_curl,severe,24.84,13.5,56.3,CRITICAL
leaf_curl,severe,28.21,6.13,81.6,CRITICAL
mosaic,severe,25.16,2.93,73.9,CRITICAL
mosaic,severe,26.38,18.68,79.6,CRITICAL
anthracnose,mild,20.83,14.2,69.0,LOW
leaf_curl,severe,30.82,115.87,80.5,CRITICAL
leaf_curl,moderate,30.25,52.56,87.3,HIGH
mites,moderate,34.51,4.04,56.8,CRITICAL
leaf_curl,moderate,26.85,24.86,83.3,CRITICAL
mosaic,moderate,28.29,4.51,63.0,CRITICAL
mosaic,moderate,26.05,18.54,43.2,CRITICAL
anthracnose,moderate,27.31,57.37,65.1,CRITICAL
mosaic,severe,27.76,0.55,62.7,CRITICAL
mosaic,moderate,29.98,7.96,48.2,CRITICAL
mites,moderate,28.53,33.76,64.8,MEDIUM
anthracnose,moderate,29.22,15.22,74.1,MEDIUM
mosaic,severe,33.78,14.19,56.6,CRITICAL
mites,mild,33.81,7.45,63.1,MEDIUM
mosaic,mild,25.67,32.6,64.6,MEDIUM
leaf_curl,mild,28.9,9.5,84.5,HIGH
mosaic,severe,25.51,36.22,63.1,CRITICAL
mosaic,moderate,28.8,5.86,50.9,CRITICAL
anthracnose,severe,26.06,29.48,96.0,CRITICAL
anthracnose,mild,24.4,51.09,75.3,HIGH
leaf_curl,moderate,37.93,4.99,65.8,CRITICAL
mites,severe,32.64,4.79,56.1,CRITICAL
leaf_curl,moderate,34.85,17.35,75.9,CRITICAL
leaf_curl,severe,27.06,27.2,72.4,CRITICAL
leaf_curl,moderate,23.81,40.27,72.4,CRITICAL
leaf_curl,severe,25.26,40.6,94.5,CRITICAL
mosaic,severe,31.86,5.69,65.5,CRITICAL
anthracnose,severe,26.99,88.91,66.7,CRITICAL
anthracnose,moderate,25.71,64.78,84.6,CRITICAL
leaf_curl,moderate,22.65,4.07,73.4,CRITICAL
anthracnose,mild,28.65,9.5,87.3,MEDIUM
mosaic,severe,32.34,2.42,60.5,CRITICAL
mosaic,moderate,31.21,11.11,67.1,HIGH
anthracnose,severe,27.2,22.21,73.6,CRITICAL
anthracnose,mild,35.35,52.61,95.7,MEDIUM
mosaic,mild,30.5,24.04,62.8,MEDIUM
mosaic,moderate,27.67,39.15,70.1,HIGH
mosaic,severe,27.5,1.9,73.7,CRITICAL
anthracnose,moderate,32.93,13.96,78.7,LOW
leaf_curl,mild,31.92,8.25,100.0,MEDIUM
mosaic,severe,31.82,4.79,70.6,CRITICAL
mites,moderate,27.41,3.87,64.8,HIGH
leaf_curl,mild,28.9,29.69,78.3,HIGH
mosaic,moderate,27.6,33.54,63.1,HIGH
mites,moderate,29.35,3.53,52.5,CRITICAL
mosaic,moderate,27.39,5.08,53.2,CRITICAL
anthracnose,moderate,26.89,1.68,67.3,MEDIUM
leaf_curl,severe,25.75,28.0,92.3,CRITICAL
leaf_curl,moderate,27.56,19.16,88.3,CRITICAL
mosaic,severe,32.61,0.29,79.3,CRITICAL
mosaic,mild,33.55,0.47,60.6,HIGH
leaf_curl,severe,30.83,74.84,80.8,CRITICAL
leaf_curl,mild,27.56,29.94,73.7,HIGH
anthracnose,mild,28.91,29.31,61.4,MEDIUM
mosaic,moderate,26.2,28.38,61.3,HIGH
leaf_curl,moderate,26.43,17.71,72.9,CRITICAL
anthracnose,mild,30.88,1.01,100.0,MEDIUM
mites,moderate,32.35,8.68,57.8,HIGH
leaf_curl,moderate,18.23,20.35,65.9,HIGH
leaf_curl,mild,28.61,0.66,74.9,HIGH
anthracnose,moderate,32.41,72.01,79.7,HIGH
anthracnose,moderate,25.24,38.3,79.1,HIGH
mosaic,severe,33.1,50.91,91.2,HIGH
anthracnose,moderate,26.07,52.36,76.6,CRITICAL
leaf_curl,severe,32.68,1.86,73.7,CRITICAL
mosaic,mild,29.92,45.39,45.0,MEDIUM
anthracnose,severe,34.28,0.38,76.7,LOW
leaf_curl,severe,25.38,16.14,94.7,CRITICAL
mosaic,mild,29.75,3.56,56.7,HIGH
mosaic,severe,28.36,8.16,77.1,CRITICAL
mosaic,severe,28.84,3.16,74.8,CRITICAL
anthracnose,moderate,26.19,7.98,67.8,MEDIUM
leaf_curl,severe,26.74,3.98,93.4,CRITICAL
anthracnose,moderate,28.22,7.47,75.1,MEDIUM
leaf_curl,severe,34.69,15.82,96.7,CRITICAL
mites,moderate,30.83,1.9,56.1,CRITICAL
mosaic,moderate,28.0,8.39,63.8,CRITICAL
anthracnose,severe,31.46,73.79,63.6,CRITICAL
anthracnose,moderate,30.31,38.49,68.0,HIGH
mosaic,severe,27.14,22.93,49.7,CRITICAL
leaf_curl,severe,31.14,28.74,89.5,CRITICAL
leaf_curl,mild,25.75,68.0,92.5,MEDIUM
anthracnose,mild,27.9,1.99,58.5,LOW
leaf_curl,mild,25.14,21.15,74.6,HIGH
anthracnose,moderate,29.11,20.42,96.1,CRITICAL
leaf_curl,mild,29.96,17.01,89.0,HIGH
anthracnose,severe,20.9,55.61,83.7,CRITICAL
leaf_curl,mild,31.73,5.88,77.2,HIGH
leaf_curl,moderate,29.56,5.1,77.8,CRITICAL
mosaic,mild,25.32,24.69,56.7,HIGH
mosaic,mild,27.25,8.88,72.2,HIGH
mosaic,moderate,30.34,27.75,61.1,HIGH
mosaic,severe,24.73,3.96,77.1,HIGH
anthracnose,mild,30.87,11.22,77.1,MEDIUM
anthracnose,mild,28.06,6.76,97.7,MEDIUM
mosaic,mild,29.22,16.19,55.1,HIGH
mites,severe,32.27,9.29,60.2,CRITICAL
mosaic,severe,31.54,12.31,54.6,CRITICAL
mosaic,mild,29.61,1.45,54.6,HIGH
mosaic,moderate,24.51,0.71,89.3,MEDIUM
mites,severe,30.48,0.49,56.7,CRITICAL
mites,severe,28.56,0.14,69.1,CRITICAL
leaf_curl,moderate,27.44,5.82,97.0,HIGH
anthracnose,mild,26.5,40.17,98.8,HIGH
leaf_curl,severe,24.32,4.05,100.0,CRITICAL
anthracnose,mild,35.3,72.11,73.4,MEDIUM
mites,moderate,29.23,0.09,40.5,CRITICAL
mites,mild,29.75,10.06,68.2,MEDIUM
anthracnose,moderate,24.82,50.55,80.6,CRITICAL
leaf_curl,severe,30.96,2.12,68.2,CRITICAL
leaf_curl,moderate,26.5,1.14,80.1,CRITICAL
mites,mild,31.51,2.98,59.8,HIGH
mites,moderate,29.36,24.65,55.1,MEDIUM
leaf_curl,mild,31.86,8.57,71.6,HIGH
mites,mild,28.35,11.2,73.4,MEDIUM
mosaic,severe,29.96,12.16,60.4,CRITICAL
mites,moderate,25.31,25.2,65.6,MEDIUM
mites,moderate,29.67,3.56,55.7,CRITICAL
leaf_curl,mild,31.54,23.32,76.6,HIGH
mites,moderate,24.1,14.46,67.5,MEDIUM
mosaic,severe,30.24,6.77,73.6,CRITICAL
anthracnose,severe,27.39,16.88,75.8,HIGH
anthracnose,mild,21.67,45.48,78.7,MEDIUM
mites,moderate,31.11,0.6,72.1,CRITICAL
anthracnose,moderate,25.56,62.89,82.7,CRITICAL
leaf_curl,mild,32.43,1.92,71.4,HIGH
anthracnose,moderate,22.9,0.39,100.0,MEDIUM
leaf_curl,severe,27.17,12.97,66.0,CRITICAL
mites,severe,32.4,7.87,51.8,CRITICAL
anthracnose,moderate,25.14,28.27,71.2,HIGH
mites,moderate,26.76,3.17,52.5,CRITICAL
mosaic,severe,27.99,5.52,30.8,CRITICAL
mosaic,moderate,29.98,18.88,79.6,HIGH
mites,severe,30.34,5.66,79.1,CRITICAL
leaf_curl,severe,27.24,15.8,65.3,CRITICAL
mites,severe,27.71,4.61,65.2,CRITICAL
anthracnose,moderate,28.11,83.4,92.2,CRITICAL
anthracnose,mild,26.76,0.68,68.8,MEDIUM
leaf_curl,mild,25.46,15.64,77.4,HIGH
anthracnose,moderate,21.96,41.84,89.6,HIGH
mites,mild,33.15,2.89,47.4,HIGH
mosaic,severe,32.18,13.72,68.5,CRITICAL
mosaic,moderate,22.72,4.18,71.1,HIGH
anthracnose,mild,29.02,3.88,82.6,MEDIUM
leaf_curl,severe,30.78,33.91,51.8,CRITICAL
anthracnose,severe,28.94,29.4,79.4,CRITICAL
leaf_curl,severe,33.85,20.26,77.5,CRITICAL
mosaic,severe,27.99,6.88,58.9,CRITICAL
mites,mild,30.77,13.82,47.3,MEDIUM
leaf_curl,severe,24.62,14.08,71.9,CRITICAL
mosaic,moderate,28.39,2.67,64.8,CRITICAL
mosaic,mild,23.42,0.84,61.6,MEDIUM
anthracnose,moderate,31.91,6.91,100.0,HIGH
mites,moderate,27.16,17.18,65.7,MEDIUM
anthracnose,severe,32.94,42.83,69.7,HIGH
leaf_curl,moderate,23.12,87.41,66.7,CRITICAL
leaf_curl,severe,26.72,19.12,87.6,CRITICAL
leaf_curl,moderate,29.61,27.63,80.8,CRITICAL
mites,mild,28.23,0.91,57.5,HIGH
leaf_curl,mild,30.79,14.67,65.6,HIGH
mosaic,mild,24.88,27.52,50.1,MEDIUM
anthracnose,mild,24.88,5.76,88.4,MEDIUM
leaf_curl,moderate,25.3,15.3,74.6,CRITICAL
leaf_curl,severe,30.73,38.85,80.6,CRITICAL
anthracnose,moderate,25.72,6.25,77.3,MEDIUM
mosaic,severe,28.83,12.57,69.2,CRITICAL
mites,moderate,32.94,14.79,72.7,HIGH
anthracnose,severe,30.34,75.18,91.6,CRITICAL
anthracnose,moderate,30.64,61.43,70.9,CRITICAL
leaf_curl,mild,23.51,1.54,62.1,HIGH
leaf_curl,severe,26.94,102.07,91.3,CRITICAL
mosaic,mild,29.66,13.12,62.6,MEDIUM
anthracnose,mild,30.2,57.2,85.9,HIGH
leaf_curl,moderate,26.8,8.94,80.2,CRITICAL
anthracnose,severe,25.85,18.07,76.2,HIGH
anthracnose,moderate,26.56,70.97,96.8,CRITICAL
anthracnose,severe,27.41,35.09,96.4,CRITICAL
mosaic,mild,28.03,20.7,67.1,MEDIUM
leaf_curl,mild,28.58,20.8,59.9,HIGH
anthracnose,severe,27.54,31.11,73.6,CRITICAL
leaf_curl,mild,31.42,42.91,98.5,MEDIUM
mites,mild,29.78,23.75,42.2,MEDIUM
anthracnose,severe,26.82,42.69,97.3,CRITICAL
leaf_curl,mild,29.46,38.48,65.5,HIGH
leaf_curl,mild,27.69,9.64,95.6,MEDIUM
anthracnose,moderate,26.18,11.46,80.4,HIGH
anthracnose,moderate,24.26,19.44,59.8,MEDIUM
mosaic,severe,26.97,39.71,82.1,HIGH
anthracnose,mild,32.25,23.42,72.2,LOW
leaf_curl,moderate,24.95,22.23,81.9,CRITICAL
mites,mild,27.96,7.73,60.7,MEDIUM
mosaic,mild,25.81,29.97,72.5,MEDIUM
anthracnose,mild,31.03,3.22,98.0,MEDIUM
anthracnose,moderate,28.68,14.35,73.9,MEDIUM
anthracnose,severe,32.85,1.44,74.7,LOW
anthracnose,moderate,23.8,83.57,68.5,HIGH
leaf_curl,mild,26.93,78.48,82.2,HIGH
anthracnose,moderate,34.05,130.05,71.2,HIGH
mites,moderate,31.43,12.59,77.1,HIGH
anthracnose,moderate,27.11,21.56,85.9,CRITICAL
leaf_curl,mild,29.8,89.91,83.2,HIGH
mosaic,severe,29.07,9.65,72.1,CRITICAL
anthracnose,severe,32.29,6.78,85.9,MEDIUM
mosaic,moderate,28.71,8.64,58.7,CRITICAL
leaf_curl,moderate,33.54,2.07,92.1,HIGH
leaf_curl,moderate,28.44,57.94,62.2,HIGH
mosaic,moderate,30.4,3.45,62.0,CRITICAL
anthracnose,severe,26.89,32.08,56.7,CRITICAL
mites,mild,26.31,0.8,69.0,MEDIUM
leaf_curl,mild,26.25,1.68,77.9,HIGH
leaf_curl,mild,31.46,19.96,63.9,HIGH
anthracnose,mild,22.96,10.7,68.3,LOW
anthracnose,moderate,24.64,54.04,89.6,CRITICAL
leaf_curl,mild,26.56,11.26,76.9,HIGH
leaf_curl,mild,29.49,4.54,100.0,MEDIUM
anthracnose,mild,27.77,22.79,89.9,HIGH
leaf_curl,moderate,36.9,39.68,79.3,CRITICAL
anthracnose,severe,24.13,109.95,72.4,CRITICAL
mites,moderate,28.74,24.57,47.3,HIGH
leaf_curl,moderate,26.44,17.85,71.9,CRITICAL
mites,severe,30.09,10.12,82.2,CRITICAL
leaf_curl,severe,30.73,47.04,77.6,CRITICAL
mites,severe,28.4,6.05,57.9,CRITICAL
leaf_curl,mild,33.94,17.49,85.6,MEDIUM
anthracnose,mild,29.17,22.94,87.7,HIGH
leaf_curl,severe,29.53,22.87,70.3,CRITICAL
mites,moderate,26.88,51.39,55.1,MEDIUM
mosaic,moderate,26.33,23.46,65.9,HIGH
leaf_curl,mild,26.57,4.95,60.3,HIGH
mosaic,severe,30.79,28.37,67.9,CRITICAL
anthracnose,mild,23.84,33.76,79.9,MEDIUM
leaf_curl,mild,26.12,29.3,84.2,HIGH
anthracnose,moderate,24.19,33.04,69.5,HIGH
mosaic,mild,32.62,14.49,72.5,MEDIUM
mites,mild,35.15,5.94,59.8,MEDIUM
mosaic,mild,26.57,6.57,64.1,HIGH
anthracnose,severe,24.41,17.77,87.0,CRITICAL
leaf_curl,severe,23.86,21.94,84.4,CRITICAL
mosaic,severe,29.25,0.61,63.5,CRITICAL
mites,moderate,30.46,4.37,46.9,CRITICAL
mosaic,severe,28.31,13.26,55.3,CRITICAL
mosaic,moderate,33.28,43.51,61.4,HIGH
mosaic,moderate,32.08,5.71,66.2,CRITICAL
anthracnose,severe,30.78,4.19,86.9,CRITICAL
mosaic,moderate,32.5,15.6,72.1,HIGH
leaf_curl,mild,24.73,12.58,90.4,HIGH
leaf_curl,moderate,35.37,23.49,93.3,HIGH
mites,mild,34.86,14.82,64.7,MEDIUM
anthracnose,moderate,22.79,50.12,75.2,HIGH
mites,moderate,33.11,13.06,79.0,HIGH
mites,severe,25.79,18.27,58.2,MEDIUM
mosaic,moderate,29.06,4.22,53.3,CRITICAL
mites,mild,32.83,5.0,61.8,HIGH
mosaic,mild,32.7,8.56,51.2,HIGH
anthracnose,mild,29.88,29.23,73.2,MEDIUM
leaf_curl,moderate,25.36,123.25,87.2,HIGH
mosaic,severe,28.02,11.25,54.6,CRITICAL
anthracnose,severe,32.41,5.92,56.7,LOW
leaf_curl,moderate,30.86,18.63,76.1,CRITICAL
leaf_curl,mild,18.65,91.99,76.8,MEDIUM
mosaic,mild,27.91,3.75,55.4,HIGH
mosaic,mild,28.89,26.48,43.6,HIGH
mites,mild,31.95,25.06,83.2,LOW
anthracnose,mild,29.33,40.13,91.7,HIGH
anthracnose,mild,29.88,3.84,79.1,MEDIUM
mites,mild,25.19,8.92,67.3,MEDIUM
leaf_curl,moderate,25.88,22.19,94.8,CRITICAL
mosaic,mild,25.68,1.39,60.2,HIGH
mites,moderate,29.81,2.64,80.4,CRITICAL
mites,severe,28.43,10.36,49.5,CRITICAL
leaf_curl,moderate,27.68,92.13,80.3,CRITICAL
mosaic,moderate,29.43,21.3,52.1,CRITICAL
mosaic,moderate,25.07,3.52,80.5,CRITICAL
leaf_curl,severe,32.63,15.89,78.7,CRITICAL
leaf_curl,moderate,22.86,9.43,78.5,CRITICAL
mosaic,mild,28.53,7.47,93.0,MEDIUM
anthracnose,mild,25.11,33.41,77.8,MEDIUM
mosaic,mild,30.28,55.21,59.5,MEDIUM
leaf_curl,moderate,28.15,27.17,79.6,CRITICAL
anthracnose,mild,25.39,44.77,83.2,HIGH
mosaic,severe,25.54,10.09,48.2,CRITICAL
anthracnose,severe,27.16,8.98,77.2,HIGH
mites,moderate,32.44,1.71,60.0,CRITICAL
leaf_curl,severe,23.35,54.95,63.2,CRITICAL
mosaic,severe,33.11,34.48,53.1,CRITICAL
anthracnose,severe,26.91,16.85,77.8,HIGH
mosaic,mild,22.15,31.71,77.6,LOW
mosaic,moderate,24.71,7.84,59.7,HIGH
mites,severe,31.24,56.63,43.6,CRITICAL
mosaic,moderate,29.53,6.44,60.9,CRITICAL
leaf_curl,moderate,29.76,2.09,75.2,CRITICAL
leaf_curl,mild,28.84,1.9,83.7,HIGH
anthracnose,severe,24.79,68.6,75.5,CRITICAL
mosaic,severe,34.04,12.88,58.3,CRITICAL
leaf_curl,mild,23.8,24.48,60.6,HIGH
mites,moderate,33.59,11.29,72.2,HIGH
leaf_curl,severe,27.66,45.76,70.9,CRITICAL
mites,moderate,29.6,2.04,43.1,CRITICAL
anthracnose,moderate,26.49,0.19,71.2,MEDIUM
leaf_curl,moderate,26.9,39.16,68.3,CRITICAL
leaf_curl,moderate,28.6,0.02,75.7,CRITICAL
leaf_curl,severe,26.35,2.16,81.0,CRITICAL
mosaic,moderate,26.26,29.28,70.9,HIGH
mosaic,mild,28.86,0.51,61.5,HIGH
mosaic,mild,26.97,1.91,55.1,HIGH
leaf_curl,severe,27.28,157.88,58.7,CRITICAL
mites,mild,27.24,2.37,33.4,HIGH
leaf_curl,mild,18.21,21.92,88.8,MEDIUM
anthracnose,mild,31.07,124.21,76.9,HIGH
anthracnose,severe,30.92,57.14,87.9,CRITICAL
anthracnose,moderate,34.3,9.41,56.8,LOW
mosaic,mild,28.82,24.71,63.9,MEDIUM
leaf_curl,moderate,21.9,40.63,69.0,HIGH
mites,moderate,32.06,6.98,47.3,CRITICAL
leaf_curl,moderate,18.82,0.03,70.2,HIGH
leaf_curl,mild,26.28,6.67,83.8,HIGH
leaf_curl,moderate,36.99,13.13,80.6,CRITICAL
anthracnose,mild,30.17,67.36,75.1,HIGH
mites,severe,26.19,1.59,63.6,CRITICAL
mosaic,moderate,28.29,31.45,72.9,HIGH
mites,mild,29.35,10.42,57.4,MEDIUM
anthracnose,moderate,30.31,46.83,74.8,HIGH
mosaic,severe,27.81,6.99,62.4,CRITICAL
leaf_curl,moderate,31.26,85.89,78.3,CRITICAL
leaf_curl,moderate,28.26,76.27,69.4,CRITICAL
mosaic,mild,29.75,15.65,59.2,HIGH
leaf_curl,mild,26.73,14.95,71.0,HIGH
anthracnose,moderate,28.82,27.1,82.8,CRITICAL
mosaic,mild,32.78,3.13,74.0,HIGH
mites,mild,29.89,20.62,36.7,MEDIUM
anthracnose,moderate,24.94,16.25,65.4,MEDIUM
mosaic,severe,30.69,2.32,60.0,CRITICAL
anthracnose,severe,27.89,52.94,74.5,CRITICAL
mosaic,moderate,27.77,32.34,81.6,MEDIUM
mites,severe,29.6,7.91,48.5,CRITICAL
anthracnose,mild,29.22,17.64,87.2,MEDIUM
anthracnose,mild,25.93,79.17,73.9,HIGH
mosaic,moderate,29.12,61.73,71.8,HIGH
mosaic,severe,35.06,30.24,85.1,MEDIUM
leaf_curl,severe,28.92,6.78,74.1,CRITICAL
leaf_curl,mild,32.45,47.23,85.3,MEDIUM
mosaic,severe,27.7,30.09,69.1,CRITICAL
mosaic,mild,32.63,39.71,79.1,LOW
mites,severe,32.61,6.0,64.1,CRITICAL
leaf_curl,mild,20.69,11.48,70.1,MEDIUM
leaf_curl,moderate,30.69,3.34,81.3,CRITICAL
mosaic,moderate,26.48,17.1,80.3,HIGH
leaf_curl,mild,30.25,9.69,72.6,HIGH
mosaic,moderate,27.7,6.98,58.6,CRITICAL
mosaic,mild,28.5,16.37,70.2,MEDIUM
anthracnose,mild,28.84,16.66,81.7,MEDIUM
leaf_curl,moderate,29.8,17.26,85.3,CRITICAL
leaf_curl,mild,23.44,26.52,72.7,HIGH
anthracnose,moderate,32.87,22.04,72.6,MEDIUM
mites,severe,30.9,5.12,70.9,CRITICAL
mites,severe,26.42,0.92,62.8,CRITICAL
anthracnose,moderate,23.75,5.58,87.8,MEDIUM
mosaic,severe,30.7,15.47,77.3,CRITICAL
mites,severe,31.59,5.27,39.8,CRITICAL
leaf_curl,severe,33.81,51.0,92.7,HIGH
leaf_curl,mild,21.65,15.92,85.4,MEDIUM
mosaic,moderate,27.45,0.11,66.5,CRITICAL
mosaic,moderate,30.05,41.79,67.4,HIGH
mites,severe,28.18,1.26,48.0,CRITICAL
leaf_curl,mild,27.31,6.96,76.9,HIGH
leaf_curl,mild,31.69,11.73,77.5,HIGH
leaf_curl,severe,28.43,5.84,72.3,CRITICAL
anthracnose,moderate,34.83,10.9,79.1,LOW
mosaic,severe,24.28,18.84,77.2,MEDIUM
leaf_curl,moderate,26.46,47.4,76.3,CRITICAL
mosaic,mild,26.29,3.57,44.3,HIGH
anthracnose,moderate,24.7,121.34,69.2,CRITICAL
leaf_curl,mild,30.33,50.43,69.0,HIGH
mites,mild,29.05,3.4,55.2,HIGH
leaf_curl,moderate,27.15,5.1,94.6,HIGH
anthracnose,severe,29.1,17.83,74.5,HIGH
anthracnose,moderate,28.91,36.89,71.3,HIGH
leaf_curl,moderate,31.3,21.48,80.0,CRITICAL
anthracnose,severe,27.79,10.74,75.1,HIGH
leaf_curl,mild,26.04,33.51,89.4,HIGH
anthracnose,moderate,26.63,7.1,90.0,HIGH
anthracnose,severe,25.27,6.2,78.5,HIGH
leaf_curl,mild,32.25,10.06,97.1,HIGH
anthracnose,severe,30.04,3.94,72.8,HIGH
mites,severe,28.99,15.05,42.0,CRITICAL
mites,severe,35.01,7.22,38.1,CRITICAL
anthracnose,mild,26.94,9.88,54.1,LOW
anthracnose,mild,21.33,69.61,67.2,MEDIUM
anthracnose,moderate,25.41,16.3,91.9,HIGH
mites,moderate,25.78,0.86,63.9,HIGH
leaf_curl,mild,21.83,42.37,90.7,LOW
mites,mild,28.73,0.11,42.7,HIGH
mosaic,mild,24.1,13.6,55.7,MEDIUM
mites,mild,32.37,5.2,70.1,MEDIUM
leaf_curl,severe,26.74,22.16,75.2,CRITICAL
anthracnose,severe,32.24,78.56,71.6,CRITICAL
mites,moderate,27.32,0.34,61.8,HIGH
mites,moderate,26.1,9.75,71.5,MEDIUM
leaf_curl,severe,24.32,2.32,71.9,CRITICAL
anthracnose,severe,25.1,31.12,82.3,CRITICAL
mosaic,mild,22.72,7.47,56.3,MEDIUM
mosaic,severe,35.3,24.35,66.1,CRITICAL
anthracnose,mild,31.73,31.34,69.5,MEDIUM
mites,moderate,31.93,12.67,64.3,HIGH
anthracnose,moderate,29.39,20.04,74.3,HIGH
mosaic,severe,28.7,6.26,63.4,CRITICAL
mosaic,mild,31.15,3.44,74.1,HIGH
anthracnose,mild,29.63,71.67,76.9,HIGH
mites,moderate,34.06,9.68,37.9,CRITICAL
mites,moderate,33.96,30.42,48.6,HIGH
mites,moderate,29.14,16.23,38.5,HIGH
mites,severe,28.25,7.06,65.0,CRITICAL
anthracnose,severe,28.78,45.12,90.7,CRITICAL
anthracnose,mild,28.84,47.29,61.1,MEDIUM
leaf_curl,mild,30.07,26.81,81.9,HIGH
mites,severe,28.92,1.06,43.5,CRITICAL
leaf_curl,mild,25.3,55.91,83.9,HIGH
leaf_curl,severe,29.79,9.04,80.2,CRITICAL
leaf_curl,severe,23.8,2.04,79.2,CRITICAL
anthracnose,mild,26.18,16.01,70.3,MEDIUM
leaf_curl,moderate,18.0,14.33,59.7,HIGH
mites,mild,29.22,5.98,64.5,MEDIUM
anthracnose,severe,24.36,50.54,63.7,CRITICAL
mites,severe,32.94,3.44,77.1,CRITICAL
mites,mild,28.97,4.57,51.4,HIGH
anthracnose,severe,30.38,48.37,75.8,CRITICAL
mosaic,mild,28.65,34.24,56.6,MEDIUM
anthracnose,severe,22.33,20.13,78.2,CRITICAL
leaf_curl,mild,21.23,25.92,76.9,MEDIUM
anthracnose,severe,22.59,26.5,80.7,CRITICAL
mosaic,mild,23.92,5.28,76.2,MEDIUM
leaf_curl,moderate,29.34,55.14,74.3,CRITICAL
anthracnose,mild,28.93,1.19,84.0,MEDIUM
mites,moderate,33.58,3.95,69.1,CRITICAL
mites,moderate,34.89,4.73,50.1,CRITICAL
leaf_curl,mild,33.69,12.59,82.4,HIGH
mosaic,mild,29.56,16.34,59.2,HIGH
leaf_curl,mild,34.21,11.64,64.4,MEDIUM
mosaic,moderate,31.54,18.47,73.5,HIGH
mites,mild,31.25,1.92,51.3,HIGH
anthracnose,mild,31.01,52.72,73.8,HIGH
leaf_curl,mild,33.78,23.4,72.6,HIGH
mosaic,severe,27.08,7.46,45.1,CRITICAL
mosaic,mild,33.93,16.29,51.7,HIGH
mites,severe,33.61,3.13,63.8,CRITICAL
mites,severe,29.28,2.49,77.9,CRITICAL
mites,moderate,32.29,5.87,76.1,HIGH
mosaic,severe,27.97,35.49,57.6,CRITICAL
mosaic,severe,27.24,6.23,37.8,CRITICAL
mites,moderate,27.8,0.7,48.1,CRITICAL
mites,moderate,29.15,1.26,63.7,CRITICAL
