green_ratio,yellow_ratio,orange_ratio,avg_temp,max_temp,min_temp,ripeness_stage,taste,quality_grade,buying_recommendation
0.6,0.224,0.176,27.35,29.78,25.69,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.383,0.409,0.208,14.5,17.74,12.09,Half Ripe,Bland or bitter,Grade_2,Can buy and ripen
0.149,0.6,0.251,25.58,27.21,22.45,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.338,0.647,0.015,30.39,32.94,28.66,Mostly Ripe,Fermented or mushy,Grade_1,Buy and consume immediately
0.724,0.259,0.017,28.19,31.09,26.26,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.358,0.455,0.187,23.08,25.64,20.23,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.269,0.572,0.159,30.79,33.16,28.1,Mostly Ripe,Fermented or mushy,Grade_2,Buy and consume immediately
0.812,0.143,0.045,25.43,27.56,22.35,Unripe,Bitter vegetal,Grade_3,Do not buy
0.533,0.454,0.013,31.39,34.64,27.95,Half Ripe,Fermented or mushy,Grade_2,Buy and consume immediately
0.585,0.344,0.07,30.58,34.07,29.06,Color Break,Fermented or mushy,Grade_3,Buy and consume immediately
0.529,0.422,0.049,25.59,27.26,22.46,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.406,0.42,0.174,25.72,27.47,23.84,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.442,0.513,0.045,28.98,32.14,26.31,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.085,0.72,0.195,14.66,17.05,13.13,Fully Ripe,Bland or bitter,Grade_1,Highly recommended
0.837,0.134,0.029,13.49,16.14,11.62,Unripe,Bland or bitter,Grade_3,Do not buy
0.562,0.321,0.117,29.13,31.38,26.38,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.552,0.229,0.219,30.99,34.2,27.59,Color Break,Fermented or mushy,Grade_3,Buy and consume immediately
0.727,0.254,0.019,28.04,29.68,25.39,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.263,0.682,0.055,28.24,31.3,25.1,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.731,0.305,0.01,14.35,16.01,12.51,Color Break,Bland or bitter,Grade_3,Can buy and ripen
0.575,0.225,0.2,29.79,32.67,26.83,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.807,0.141,0.052,31.36,34.2,28.58,Unripe,Fermented or mushy,Grade_3,Buy and consume immediately
0.232,0.623,0.144,22.62,26.1,21.04,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.344,0.632,0.024,15.89,17.58,14.03,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.51,0.502,0.01,32.61,34.99,29.86,Half Ripe,Fermented or mushy,Grade_2,Buy and consume immediately
0.115,0.727,0.159,13.97,15.92,11.68,Fully Ripe,Bland or bitter,Grade_1,Highly recommended
0.232,0.697,0.071,29.67,31.72,26.71,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.224,0.628,0.147,32.79,34.57,30.45,Mostly Ripe,Fermented or mushy,Grade_1,Buy and consume immediately
0.882,0.078,0.039,28.68,30.97,26.91,Unripe,Bitter vegetal,Grade_3,Do not buy
0.582,0.39,0.028,15.64,17.85,13.53,Color Break,Mild sweetness,Grade_2,Can buy and ripen
0.296,0.655,0.049,29.75,31.57,27.31,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.261,0.636,0.104,26.21,28.66,24.62,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.12,0.65,0.23,15.23,17.71,13.47,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.839,0.08,0.081,25.07,27.4,21.75,Unripe,Bitter vegetal,Grade_3,Do not buy
0.074,0.614,0.312,13.96,16.4,12.27,Fully Ripe,Bland or bitter,Grade_1,Highly recommended
0.275,0.633,0.092,14.22,15.77,11.0,Mostly Ripe,Bland or bitter,Grade_1,Highly recommended
0.265,0.684,0.051,26.55,29.88,23.91,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.827,0.062,0.111,13.6,16.28,10.92,Unripe,Bland or bitter,Grade_3,Do not buy
0.363,0.525,0.112,13.53,15.46,11.47,Half Ripe,Bland or bitter,Grade_2,Can buy and ripen
0.43,0.522,0.048,13.04,15.13,11.01,Half Ripe,Bland or bitter,Grade_2,Can buy and ripen
0.217,0.634,0.15,32.04,34.9,28.68,Mostly Ripe,Fermented or mushy,Grade_1,Buy and consume immediately
0.349,0.658,0.01,26.9,28.51,25.12,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.05,0.735,0.214,13.07,15.05,10.06,Fully Ripe,Bland or bitter,Grade_1,Highly recommended
0.126,0.647,0.227,32.88,34.55,30.61,Fully Ripe,Fermented or mushy,Grade_1,Buy and consume immediately
0.087,0.733,0.18,29.64,31.4,26.8,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.696,0.315,0.01,25.02,26.94,22.9,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.277,0.61,0.113,13.02,15.26,10.02,Mostly Ripe,Bland or bitter,Grade_1,Highly recommended
0.729,0.369,0.01,29.88,32.96,26.58,Color Break,Mild sweetness,Grade_2,Can buy and ripen
0.403,0.522,0.075,13.25,15.35,10.03,Half Ripe,Bland or bitter,Grade_2,Can buy and ripen
0.321,0.665,0.014,13.44,15.6,11.83,Mostly Ripe,Bland or bitter,Grade_1,Highly recommended
0.284,0.585,0.131,28.32,31.54,26.54,Mostly Ripe,Sweet tropical,Grade_2,Highly recommended
0.943,0.069,0.01,26.26,29.48,24.5,Unripe,Bitter vegetal,Grade_3,Do not buy
0.291,0.661,0.048,23.76,25.88,20.54,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.542,0.433,0.025,23.47,26.07,21.59,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.294,0.627,0.079,32.14,35.06,30.43,Mostly Ripe,Fermented or mushy,Grade_1,Buy and consume immediately
0.718,0.334,0.01,32.4,35.12,30.28,Color Break,Fermented or mushy,Grade_3,Buy and consume immediately
0.215,0.561,0.224,29.17,31.16,25.78,Mostly Ripe,Sweet tropical,Grade_2,Highly recommended
0.61,0.355,0.035,14.18,16.12,12.57,Color Break,Bland or bitter,Grade_2,Can buy and ripen
0.076,0.679,0.245,30.31,32.82,27.8,Fully Ripe,Fermented or mushy,Grade_1,Buy and consume immediately
0.064,0.747,0.189,22.87,25.2,20.52,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.918,0.053,0.029,15.46,17.51,13.87,Unripe,Bitter vegetal,Grade_3,Do not buy
0.336,0.649,0.015,15.24,18.58,13.05,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.055,0.631,0.314,23.6,26.79,20.61,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.067,0.618,0.315,13.2,16.11,11.09,Fully Ripe,Bland or bitter,Grade_1,Highly recommended
0.836,0.039,0.125,29.17,30.74,25.68,Unripe,Bitter vegetal,Grade_3,Do not buy
0.835,0.036,0.129,22.69,25.1,19.72,Unripe,Bitter vegetal,Grade_3,Do not buy
0.287,0.672,0.04,26.37,29.42,23.94,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.748,0.297,0.01,15.96,19.23,13.66,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.323,0.59,0.087,26.79,28.76,23.66,Mostly Ripe,Sweet tropical,Grade_2,Highly recommended
0.617,0.366,0.017,29.21,31.08,26.85,Color Break,Mild sweetness,Grade_2,Can buy and ripen
0.809,0.057,0.134,24.69,27.18,22.53,Unripe,Bitter vegetal,Grade_3,Do not buy
0.371,0.543,0.086,23.99,26.84,20.8,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.333,0.658,0.01,24.13,26.01,20.99,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.459,0.412,0.129,32.3,35.51,30.77,Half Ripe,Fermented or mushy,Grade_2,Buy and consume immediately
0.652,0.354,0.01,32.1,35.56,29.39,Color Break,Fermented or mushy,Grade_2,Buy and consume immediately
0.251,0.682,0.067,30.23,33.13,28.34,Mostly Ripe,Fermented or mushy,Grade_1,Buy and consume immediately
0.439,0.524,0.036,31.32,33.91,29.64,Half Ripe,Fermented or mushy,Grade_2,Buy and consume immediately
0.425,0.462,0.112,32.78,34.98,31.19,Half Ripe,Fermented or mushy,Grade_2,Buy and consume immediately
0.186,0.609,0.205,15.84,18.36,13.1,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.446,0.472,0.083,15.3,18.68,11.97,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.327,0.644,0.029,22.85,25.69,19.49,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.474,0.524,0.01,15.07,16.96,13.09,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.845,0.107,0.048,29.81,32.74,27.93,Unripe,Bitter vegetal,Grade_3,Do not buy
0.244,0.621,0.135,14.13,17.0,12.58,Mostly Ripe,Bland or bitter,Grade_1,Highly recommended
0.904,0.068,0.029,25.55,27.45,22.96,Unripe,Bitter vegetal,Grade_3,Do not buy
0.071,0.682,0.248,26.74,29.87,24.56,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.817,0.098,0.085,26.07,29.34,23.47,Unripe,Bitter vegetal,Grade_3,Do not buy
0.457,0.429,0.114,13.5,16.78,11.77,Half Ripe,Bland or bitter,Grade_2,Can buy and ripen
0.551,0.3,0.149,14.75,16.76,12.32,Color Break,Bland or bitter,Grade_3,Can buy and ripen
0.834,0.119,0.047,15.76,18.15,13.28,Unripe,Bitter vegetal,Grade_3,Do not buy
0.853,0.139,0.01,32.06,35.01,28.97,Unripe,Fermented or mushy,Grade_3,Buy and consume immediately
0.925,0.148,0.01,15.37,18.36,12.98,Unripe,Bitter vegetal,Grade_3,Do not buy
0.554,0.213,0.233,25.42,28.19,23.54,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.7,0.309,0.01,13.61,15.87,11.9,Color Break,Bland or bitter,Grade_3,Can buy and ripen
0.88,0.077,0.043,26.53,29.08,23.61,Unripe,Bitter vegetal,Grade_3,Do not buy
0.075,0.667,0.258,23.53,25.07,21.31,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.617,0.278,0.106,26.19,28.89,23.23,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.704,0.395,0.01,24.21,26.7,22.35,Color Break,Mild sweetness,Grade_2,Can buy and ripen
0.572,0.368,0.06,28.96,31.14,25.72,Color Break,Mild sweetness,Grade_2,Can buy and ripen
0.168,0.667,0.166,23.41,26.39,20.33,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.818,0.047,0.135,13.86,16.48,10.64,Unripe,Bland or bitter,Grade_3,Do not buy
0.117,0.665,0.218,32.65,34.67,31.05,Fully Ripe,Fermented or mushy,Grade_1,Buy and consume immediately
0.695,0.224,0.081,25.16,26.99,22.9,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.273,0.695,0.031,27.11,28.98,24.96,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.447,0.404,0.149,13.75,16.7,10.62,Half Ripe,Bland or bitter,Grade_2,Can buy and ripen
0.401,0.516,0.082,25.03,27.09,22.42,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.619,0.387,0.01,25.01,28.18,21.79,Color Break,Mild sweetness,Grade_2,Can buy and ripen
0.082,0.728,0.191,22.75,25.22,21.08,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.147,0.678,0.175,30.42,33.48,27.42,Fully Ripe,Fermented or mushy,Grade_1,Buy and consume immediately
0.869,0.131,0.01,23.78,25.4,21.12,Unripe,Bitter vegetal,Grade_3,Do not buy
0.574,0.207,0.219,28.59,30.97,25.4,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.402,0.463,0.134,24.75,27.55,22.54,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.893,0.136,0.01,24.52,27.96,21.29,Unripe,Bitter vegetal,Grade_3,Do not buy
0.11,0.705,0.185,30.28,32.18,28.25,Fully Ripe,Fermented or mushy,Grade_1,Buy and consume immediately
0.825,0.041,0.133,14.26,16.09,12.63,Unripe,Bland or bitter,Grade_3,Do not buy
0.413,0.433,0.153,23.01,24.54,19.58,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.088,0.69,0.222,32.66,35.33,29.63,Fully Ripe,Fermented or mushy,Grade_1,Buy and consume immediately
0.231,0.682,0.087,14.95,17.08,11.76,Mostly Ripe,Bland or bitter,Grade_1,Highly recommended
0.245,0.65,0.104,14.21,16.45,12.29,Mostly Ripe,Bland or bitter,Grade_1,Highly recommended
0.689,0.389,0.01,15.99,19.46,14.07,Color Break,Mild sweetness,Grade_2,Can buy and ripen
0.82,0.054,0.126,15.31,17.44,13.79,Unripe,Bitter vegetal,Grade_3,Do not buy
0.088,0.645,0.267,25.03,27.77,23.29,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.745,0.237,0.017,32.07,35.44,30.01,Color Break,Fermented or mushy,Grade_3,Buy and consume immediately
0.85,0.114,0.036,15.3,17.27,13.18,Unripe,Bitter vegetal,Grade_3,Do not buy
0.43,0.436,0.134,13.61,15.92,11.63,Half Ripe,Bland or bitter,Grade_2,Can buy and ripen
0.113,0.696,0.191,15.55,17.7,12.54,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.859,0.103,0.038,14.33,16.41,12.1,Unripe,Bland or bitter,Grade_3,Do not buy
0.116,0.618,0.266,26.83,28.63,24.13,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.9,0.08,0.02,24.55,27.92,22.79,Unripe,Bitter vegetal,Grade_3,Do not buy
0.509,0.476,0.014,30.57,33.89,27.64,Half Ripe,Fermented or mushy,Grade_2,Buy and consume immediately
0.108,0.72,0.172,24.78,28.22,21.89,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.167,0.679,0.154,30.75,34.0,28.81,Mostly Ripe,Fermented or mushy,Grade_1,Buy and consume immediately
0.382,0.409,0.209,15.47,17.91,12.25,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.846,0.053,0.101,13.39,15.29,11.87,Unripe,Bland or bitter,Grade_3,Do not buy
0.058,0.656,0.286,15.46,17.32,12.18,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.442,0.506,0.051,15.95,18.01,14.08,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.806,0.033,0.161,15.32,18.7,12.91,Unripe,Bitter vegetal,Grade_3,Do not buy
0.208,0.634,0.158,30.84,33.41,28.39,Mostly Ripe,Fermented or mushy,Grade_1,Buy and consume immediately
0.228,0.683,0.089,31.08,32.69,27.71,Mostly Ripe,Fermented or mushy,Grade_1,Buy and consume immediately
0.808,0.096,0.097,30.36,32.43,28.3,Unripe,Fermented or mushy,Grade_3,Buy and consume immediately
0.231,0.7,0.069,28.41,31.37,26.2,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.363,0.411,0.226,30.36,32.65,28.34,Half Ripe,Fermented or mushy,Grade_2,Buy and consume immediately
0.219,0.669,0.111,27.19,29.01,23.77,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.658,0.203,0.14,13.77,15.7,10.54,Color Break,Bland or bitter,Grade_3,Can buy and ripen
0.341,0.586,0.073,15.65,18.85,13.15,Mostly Ripe,Sweet tropical,Grade_2,Highly recommended
0.671,0.245,0.084,14.63,17.47,12.86,Color Break,Bland or bitter,Grade_3,Can buy and ripen
0.135,0.723,0.142,13.04,16.1,10.57,Fully Ripe,Bland or bitter,Grade_1,Highly recommended
0.509,0.486,0.01,14.03,17.03,12.05,Half Ripe,Bland or bitter,Grade_2,Can buy and ripen
0.064,0.628,0.308,32.22,35.14,29.42,Fully Ripe,Fermented or mushy,Grade_1,Buy and consume immediately
0.137,0.637,0.226,27.13,28.89,25.1,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.266,0.658,0.076,25.5,27.69,22.21,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.343,0.617,0.04,31.44,33.18,29.48,Mostly Ripe,Fermented or mushy,Grade_1,Buy and consume immediately
0.171,0.673,0.155,26.24,28.38,24.35,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.081,0.746,0.173,24.72,27.8,22.41,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.351,0.527,0.122,24.98,27.67,22.0,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.392,0.526,0.082,30.3,33.68,27.45,Half Ripe,Fermented or mushy,Grade_2,Buy and consume immediately
0.574,0.214,0.212,23.6,25.35,21.52,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.836,0.056,0.109,29.09,30.87,25.85,Unripe,Bitter vegetal,Grade_3,Do not buy
0.524,0.463,0.013,31.58,33.62,29.07,Half Ripe,Fermented or mushy,Grade_2,Buy and consume immediately
0.306,0.679,0.016,15.53,17.16,12.63,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.552,0.282,0.166,31.83,33.61,28.61,Color Break,Fermented or mushy,Grade_3,Buy and consume immediately
0.313,0.698,0.01,15.73,18.55,13.01,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.142,0.623,0.235,29.37,31.39,26.84,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.122,0.626,0.252,30.22,32.19,27.74,Fully Ripe,Fermented or mushy,Grade_1,Buy and consume immediately
0.212,0.577,0.211,14.51,17.12,12.42,Mostly Ripe,Bland or bitter,Grade_2,Highly recommended
0.441,0.425,0.134,25.61,28.36,23.23,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.806,0.09,0.104,15.29,16.86,12.52,Unripe,Bitter vegetal,Grade_3,Do not buy
0.166,0.615,0.218,25.23,27.17,23.52,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.467,0.473,0.06,14.57,17.37,11.34,Half Ripe,Bland or bitter,Grade_2,Can buy and ripen
0.716,0.325,0.01,28.25,30.02,26.23,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.227,0.691,0.082,31.55,34.2,28.19,Mostly Ripe,Fermented or mushy,Grade_1,Buy and consume immediately
0.722,0.234,0.044,14.31,17.67,12.76,Color Break,Bland or bitter,Grade_3,Can buy and ripen
0.489,0.509,0.01,32.88,34.56,30.02,Half Ripe,Fermented or mushy,Grade_2,Buy and consume immediately
0.526,0.477,0.01,31.84,34.22,30.26,Half Ripe,Fermented or mushy,Grade_2,Buy and consume immediately
0.422,0.524,0.054,24.8,27.22,21.73,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.539,0.441,0.019,14.19,17.66,11.37,Half Ripe,Bland or bitter,Grade_2,Can buy and ripen
0.132,0.712,0.156,15.1,16.85,12.29,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.358,0.49,0.152,30.25,32.73,27.01,Half Ripe,Fermented or mushy,Grade_2,Buy and consume immediately
0.124,0.675,0.201,14.72,17.32,12.83,Fully Ripe,Bland or bitter,Grade_1,Highly recommended
0.815,0.139,0.045,26.3,29.01,23.54,Unripe,Bitter vegetal,Grade_3,Do not buy
0.103,0.687,0.21,15.05,16.92,13.44,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.668,0.368,0.01,22.75,26.24,20.16,Color Break,Mild sweetness,Grade_2,Can buy and ripen
0.843,0.149,0.01,29.3,32.18,26.02,Unripe,Bitter vegetal,Grade_3,Do not buy
0.688,0.257,0.055,31.8,35.22,29.04,Color Break,Fermented or mushy,Grade_3,Buy and consume immediately
0.187,0.566,0.247,25.39,27.04,22.57,Mostly Ripe,Sweet tropical,Grade_2,Highly recommended
0.312,0.651,0.037,14.49,16.62,11.08,Mostly Ripe,Bland or bitter,Grade_1,Highly recommended
0.053,0.687,0.26,26.06,28.8,24.46,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.647,0.203,0.15,29.11,31.9,27.15,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.181,0.653,0.166,29.55,32.9,27.72,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.15,0.698,0.152,32.17,35.5,30.13,Mostly Ripe,Fermented or mushy,Grade_1,Buy and consume immediately
0.329,0.566,0.105,27.03,29.9,25.15,Mostly Ripe,Sweet tropical,Grade_2,Highly recommended
0.878,0.086,0.036,29.68,31.39,27.33,Unripe,Bitter vegetal,Grade_3,Do not buy
0.919,0.047,0.034,13.39,15.98,11.72,Unripe,Bland or bitter,Grade_3,Do not buy
0.397,0.425,0.178,29.15,30.68,27.44,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.584,0.286,0.129,14.53,16.36,11.65,Color Break,Bland or bitter,Grade_3,Can buy and ripen
0.285,0.697,0.018,25.93,27.65,22.87,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.732,0.277,0.01,30.19,32.84,28.49,Color Break,Fermented or mushy,Grade_3,Buy and consume immediately
0.44,0.541,0.019,23.7,25.73,20.37,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.113,0.708,0.179,13.77,15.87,11.36,Fully Ripe,Bland or bitter,Grade_1,Highly recommended
0.369,0.535,0.096,27.4,29.11,25.87,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.332,0.59,0.078,29.06,31.88,25.63,Mostly Ripe,Sweet tropical,Grade_2,Highly recommended
0.142,0.675,0.183,15.39,17.01,12.42,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.102,0.632,0.266,15.35,17.53,11.88,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.476,0.462,0.062,13.5,15.04,11.71,Half Ripe,Bland or bitter,Grade_2,Can buy and ripen
0.282,0.659,0.059,15.36,17.75,12.44,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.123,0.626,0.251,25.69,28.35,23.59,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.357,0.495,0.148,15.58,18.85,13.25,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.471,0.495,0.035,23.22,26.01,21.17,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.24,0.602,0.158,32.41,35.83,29.21,Mostly Ripe,Fermented or mushy,Grade_1,Buy and consume immediately
0.523,0.461,0.016,23.22,25.59,20.67,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.39,0.513,0.097,15.24,17.21,12.11,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.468,0.432,0.101,25.64,28.34,22.66,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.556,0.308,0.136,26.01,28.22,22.51,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.872,0.088,0.04,27.08,28.59,24.4,Unripe,Bitter vegetal,Grade_3,Do not buy
0.694,0.324,0.01,23.59,25.76,20.18,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.457,0.495,0.049,23.15,26.51,20.73,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.827,0.066,0.106,24.84,27.76,22.5,Unripe,Bitter vegetal,Grade_3,Do not buy
0.102,0.613,0.286,15.95,18.88,13.59,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.611,0.392,0.01,15.89,18.74,13.16,Color Break,Mild sweetness,Grade_2,Can buy and ripen
0.728,0.216,0.056,32.94,35.51,29.45,Color Break,Fermented or mushy,Grade_3,Buy and consume immediately
0.71,0.369,0.01,14.91,16.45,11.65,Color Break,Bland or bitter,Grade_2,Can buy and ripen
0.343,0.601,0.056,31.4,33.72,27.94,Mostly Ripe,Fermented or mushy,Grade_1,Buy and consume immediately
0.48,0.511,0.01,23.11,25.35,20.07,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.131,0.66,0.209,15.84,18.69,12.96,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.084,0.632,0.284,30.71,33.91,28.63,Fully Ripe,Fermented or mushy,Grade_1,Buy and consume immediately
0.145,0.607,0.247,25.19,27.49,21.72,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.457,0.475,0.067,26.01,28.84,22.86,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.802,0.095,0.103,24.99,26.75,21.96,Unripe,Bitter vegetal,Grade_3,Do not buy
0.592,0.265,0.143,32.3,35.03,30.49,Color Break,Fermented or mushy,Grade_3,Buy and consume immediately
0.542,0.478,0.01,29.27,31.0,26.52,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.737,0.241,0.022,26.83,28.85,24.74,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.35,0.544,0.105,15.75,17.46,14.22,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.673,0.392,0.01,15.71,17.68,12.78,Color Break,Mild sweetness,Grade_2,Can buy and ripen
0.525,0.419,0.056,28.64,30.46,25.73,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.914,0.043,0.043,14.52,16.74,12.3,Unripe,Bland or bitter,Grade_3,Do not buy
0.103,0.688,0.209,24.2,27.4,21.04,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.631,0.267,0.103,29.19,31.9,26.64,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.461,0.547,0.01,15.32,17.74,13.21,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.805,0.069,0.126,14.63,17.48,12.47,Unripe,Bland or bitter,Grade_3,Do not buy
0.842,0.052,0.106,14.49,17.41,12.95,Unripe,Bland or bitter,Grade_3,Do not buy
0.092,0.716,0.192,25.32,27.99,22.89,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.514,0.502,0.01,30.14,33.46,28.39,Half Ripe,Fermented or mushy,Grade_2,Buy and consume immediately
0.586,0.299,0.116,23.48,26.45,21.34,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.157,0.569,0.274,24.97,27.81,23.36,Mostly Ripe,Sweet tropical,Grade_2,Highly recommended
0.817,0.03,0.152,26.51,28.61,24.71,Unripe,Bitter vegetal,Grade_3,Do not buy
0.843,0.075,0.082,25.2,27.94,22.42,Unripe,Bitter vegetal,Grade_3,Do not buy
0.12,0.617,0.263,25.16,26.88,21.91,Fully Ripe,Very sweet aromatic,Grade_1,Highly recommended
0.507,0.425,0.068,31.13,32.98,28.28,Half Ripe,Fermented or mushy,Grade_2,Buy and consume immediately
0.185,0.659,0.157,25.9,28.85,24.13,Mostly Ripe,Sweet tropical,Grade_1,Highly recommended
0.317,0.573,0.11,23.74,26.15,21.84,Mostly Ripe,Sweet tropical,Grade_2,Highly recommended
0.263,0.647,0.089,13.91,17.08,11.38,Mostly Ripe,Bland or bitter,Grade_1,Highly recommended
0.455,0.484,0.06,29.59,32.11,27.1,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.572,0.278,0.15,22.58,24.59,20.89,Color Break,Mild sweetness,Grade_3,Can buy and ripen
0.815,0.054,0.131,16.0,19.34,14.31,Unripe,Bitter vegetal,Grade_3,Do not buy
0.541,0.492,0.01,26.97,28.65,23.57,Half Ripe,Balanced sweetness,Grade_2,Can buy and ripen
0.202,0.601,0.198,14.21,17.09,12.22,Mostly Ripe,Bland or bitter,Grade_1,Highly recommended
0.94,0.043,0.018,25.1,26.9,22.0,Unripe,Bitter vegetal,Grade_3,Do not buy
0.906,0.053,0.041,23.03,26.44,21.39,Unripe,Bitter vegetal,Grade_3,Do not buy
0.221,0.625,0.154,30.51,32.76,27.32,Mostly Ripe,Fermented or mushy,Grade_1,Buy and consume immediately
