disease,severity,growth_stage,soil_type,fertilizer_action,prevention_pack
mites,moderate,bearing,red_laterite,POTASSIUM_BOOST,ABAMECTIN_1.8EC|MONITOR_CLOSELY_3DAYS|NEEM_OIL_SPRAY|PREHARVEST_INTERVAL_CHECK|PROPARGITE_SPRAY|REMOVE_HEAVILY_INFESTED_LEAVES|SULPHUR_DUST_APPLICATION|WATER_SPRAY_TO_DISLODGE
leaf_curl,mild,vegetative,sandy_loam,BALANCED_NPK_PLUS_ORGANIC,PREVENTIVE_SPRAY_SCHEDULE|REFLECTIVE_MULCH|REMOVE_INFECTED_PLANTS|SANITATION_PRUNE|THRIPS_CONTROL_SPINOSAD|VECTOR_CONTROL_MINERAL_OIL|WEED_MANAGEMENT|WHITEFLY_CONTROL_IMIDACLOPRID
anthracnose,moderate,flowering,sandy_loam,REDUCE_N_INCREASE_K,AVOID_SPRAY_DURING_FLOWERING|CHLOROTHALONIL_SPRAY|DRAINAGE_MOISTURE_CONTROL|FRUIT_BAGGING|MANCOZEB_75WP|MONITOR_CLOSELY_3DAYS|NEEM_OIL_SPRAY|SANITATION_PRUNE|TRICHODERMA_APPLICATION
mosaic,severe,vegetative,sandy_loam,SKIP_FERTILIZER_TREAT_FIRST,APHID_CONTROL_DIMETHOATE|CONSULT_EXTENSION_OFFICER|INCREASE_SPRAY_FREQUENCY|REFLECTIVE_MULCH|REMOVE_INFECTED_PLANTS|SANITATION_PRUNE|VECTOR_CONTROL_MINERAL_OIL|WEED_MANAGEMENT
mites,mild,flowering,red_laterite,REDUCE_N_INCREASE_K,ABAMECTIN_1.8EC|AVOID_SPRAY_DURING_FLOWERING|NEEM_OIL_SPRAY|PREVENTIVE_SPRAY_SCHEDULE|PROPARGITE_SPRAY|REMOVE_HEAVILY_INFESTED_LEAVES|SULPHUR_DUST_APPLICATION|WATER_SPRAY_TO_DISLODGE
mites,mild,bearing,red_laterite,POTASSIUM_BOOST,ABAMECTIN_1.8EC|NEEM_OIL_SPRAY|PREHARVEST_INTERVAL_CHECK|PREVENTIVE_SPRAY_SCHEDULE|PROPARGITE_SPRAY|REMOVE_HEAVILY_INFESTED_LEAVES|SULPHUR_DUST_APPLICATION|WATER_SPRAY_TO_DISLODGE
mites,moderate,vegetative,clay_loam,REDUCE_N_INCREASE_K,ABAMECTIN_1.8EC|MONITOR_CLOSELY_3DAYS|NEEM_OIL_SPRAY|PROPARGITE_SPRAY|REMOVE_HEAVILY_INFESTED_LEAVES|SULPHUR_DUST_APPLICATION|WATER_SPRAY_TO_DISLODGE
anthracnose,moderate,bearing,clay_loam,REDUCE_N_INCREASE_K,CHLOROTHALONIL_SPRAY|DRAINAGE_MOISTURE_CONTROL|FRUIT_BAGGING|MANCOZEB_75WP|MONITOR_CLOSELY_3DAYS|NEEM_OIL_SPRAY|PREHARVEST_INTERVAL_CHECK|SANITATION_PRUNE|TRICHODERMA_APPLICATION
mites,severe,flowering,red_laterite,SKIP_FERTILIZER_TREAT_FIRST,ABAMECTIN_1.8EC|AVOID_SPRAY_DURING_FLOWERING|CONSULT_EXTENSION_OFFICER|INCREASE_SPRAY_FREQUENCY|NEEM_OIL_SPRAY|PROPARGITE_SPRAY|REMOVE_HEAVILY_INFESTED_LEAVES|SULPHUR_DUST_APPLICATION|WATER_SPRAY_TO_DISLODGE
leaf_curl,mild,vegetative,red_laterite,BALANCED_NPK_PLUS_ORGANIC,PREVENTIVE_SPRAY_SCHEDULE|REFLECTIVE_MULCH|REMOVE_INFECTED_PLANTS|SANITATION_PRUNE|THRIPS_CONTROL_SPINOSAD|VECTOR_CONTROL_MINERAL_OIL|WEED_MANAGEMENT|WHITEFLY_CONTROL_IMIDACLOPRID
mosaic,severe,bearing,sandy_loam,SKIP_FERTILIZER_TREAT_FIRST,APHID_CONTROL_DIMETHOATE|CONSULT_EXTENSION_OFFICER|INCREASE_SPRAY_FREQUENCY|PREHARVEST_INTERVAL_CHECK|REFLECTIVE_MULCH|REMOVE_INFECTED_PLANTS|SANITATION_PRUNE|VECTOR_CONTROL_MINERAL_OIL|WEED_MANAGEMENT
mosaic,mild,flowering,sandy_loam,REDUCE_N_INCREASE_K,APHID_CONTROL_DIMETHOATE|AVOID_SPRAY_DURING_FLOWERING|PREVENTIVE_SPRAY_SCHEDULE|REFLECTIVE_MULCH|REMOVE_INFECTED_PLANTS|SANITATION_PRUNE|VECTOR_CONTROL_MINERAL_OIL|WEED_MANAGEMENT
leaf_curl,mild,vegetative,sandy_loam,BALANCED_NPK_PLUS_ORGANIC,PREVENTIVE_SPRAY_SCHEDULE|REFLECTIVE_MULCH|REMOVE_INFECTED_PLANTS|SANITATION_PRUNE|THRIPS_CONTROL_SPINOSAD|VECTOR_CONTROL_MINERAL_OIL|WEED_MANAGEMENT|WHITEFLY_CONTROL_IMIDACLOPRID
mites,mild,vegetative,clay_loam,BALANCED_NPK,ABAMECTIN_1.8EC|NEEM_OIL_SPRAY|PREVENTIVE_SPRAY_SCHEDULE|PROPARGITE_SPRAY|REMOVE_HEAVILY_INFESTED_LEAVES|SULPHUR_DUST_APPLICATION|WATER_SPRAY_TO_DISLODGE
leaf_curl,moderate,vegetative,red_laterite,MICRONUTRIENT_FOLIAR_SPRAY,MONITOR_CLOSELY_3DAYS|REFLECTIVE_MULCH|REMOVE_INFECTED_PLANTS|SANITATION_PRUNE|THRIPS_CONTROL_SPINOSAD|VECTOR_CONTROL_MINERAL_OIL|WEED_MANAGEMENT|WHITEFLY_CONTROL_IMIDACLOPRID
anthracnose,mild,flowering,clay_loam,BALANCED_NPK,AVOID_SPRAY_DURING_FLOWERING|CHLOROTHALONIL_SPRAY|DRAINAGE_MOISTURE_CONTROL|FRUIT_BAGGING|MANCOZEB_75WP|NEEM_OIL_SPRAY|PREVENTIVE_SPRAY_SCHEDULE|SANITATION_PRUNE|TRICHODERMA_APPLICATION
mosaic,mild,bearing,sandy_loam,POTASSIUM_BOOST,APHID_CONTROL_DIMETHOATE|PREHARVEST_INTERVAL_CHECK|PREVENTIVE_SPRAY_SCHEDULE|REFLECTIVE_MULCH|REMOVE_INFECTED_PLANTS|SANITATION_PRUNE|VECTOR_CONTROL_MINERAL_OIL|WEED_MANAGEMENT
mites,severe,vegetative,clay_loam,SKIP_FERTILIZER_TREAT_FIRST,ABAMECTIN_1.8EC|CONSULT_EXTENSION_OFFICER|INCREASE_SPRAY_FREQUENCY|NEEM_OIL_SPRAY|PROPARGITE_SPRAY|REMOVE_HEAVILY_INFESTED_LEAVES|SULPHUR_DUST_APPLICATION|WATER_SPRAY_TO_DISLODGE
leaf_curl,mild,vegetative,red_laterite,BALANCED_NPK_PLUS_ORGANIC,PREVENTIVE_SPRAY_SCHEDULE|REFLECTIVE_MULCH|REMOVE_INFECTED_PLANTS|SANITATION_PRUNE|THRIPS_CONTROL_SPINOSAD|VECTOR_CONTROL_MINERAL_OIL|WEED_MANAGEMENT|WHITEFLY_CONTROL_IMIDACLOPRID
anthracnose,severe,flowering,clay_loam,SKIP_FERTILIZER_TREAT_FIRST,AVOID_SPRAY_DURING_FLOWERING|CHLOROTHALONIL_SPRAY|CONSULT_EXTENSION_OFFICER|DRAINAGE_MOISTURE_CONTROL|FRUIT_BAGGING|INCREASE_SPRAY_FREQUENCY|MANCOZEB_75WP|NEEM_OIL_SPRAY|SANITATION_PRUNE|TRICHODERMA_APPLICATION
leaf_curl,mild,vegetative,sandy_loam,BALANCED_NPK_PLUS_ORGANIC,PREVENTIVE_SPRAY_SCHEDULE|REFLECTIVE_MULCH|REMOVE_INFECTED_PLANTS|SANITATION_PRUNE|THRIPS_CONTROL_SPINOSAD|VECTOR_CONTROL_MINERAL_OIL|WEED_MANAGEMENT|WHITEFLY_CONTROL_IMIDACLOPRID
anthracnose,severe,flowering,clay_loam,SKIP_FERTILIZER_TREAT_FIRST,AVOID_SPRAY_DURING_FLOWERING|CHLOROTHALONIL_SPRAY|CONSULT_EXTENSION_OFFICER|DRAINAGE_MOISTURE_CONTROL|FRUIT_BAGGING|INCREASE_SPRAY_FREQUENCY|MANCOZEB_75WP|NEEM_OIL_SPRAY|SANITATION_PRUNE|TRICHODERMA_APPLICATION
mites,severe,flowering,red_laterite,SKIP_FERTILIZER_TREAT_FIRST,ABAMECTIN_1.8EC|AVOID_SPRAY_DURING_FLOWERING|CONSULT_EXTENSION_OFFICER|INCREASE_SPRAY_FREQUENCY|NEEM_OIL_SPRAY|PROPARGITE_SPRAY|REMOVE_HEAVILY_INFESTED_LEAVES|SULPHUR_DUST_APPLICATION|WATER_SPRAY_TO_DISLODGE
mites,severe,vegetative,clay_loam,SKIP_FERTILIZER_TREAT_FIRST,ABAMECTIN_1.8EC|CONSULT_EXTENSION_OFFICER|INCREASE_SPRAY_FREQUENCY|NEEM_OIL_SPRAY|PROPARGITE_SPRAY|REMOVE_HEAVILY_INFESTED_LEAVES|SULPHUR_DUST_APPLICATION|WATER_SPRAY_TO_DISLODGE
mites,severe,vegetative,red_laterite,SKIP_FERTILIZER_TREAT_FIRST,ABAMECTIN_1.8EC|CONSULT_EXTENSION_OFFICER|INCREASE_SPRAY_FREQUENCY|NEEM_OIL_SPRAY|PROPARGITE_SPRAY|REMOVE_HEAVILY_INFESTED_LEAVES|SULPHUR_DUST_APPLICATION|WATER_SPRAY_TO_DISLODGE
anthracnose,mild,vegetative,sandy_loam,BALANCED_NPK,CHLOROTHALONIL_SPRAY|DRAINAGE_MOISTURE_CONTROL|FRUIT_BAGGING|MANCOZEB_75WP|NEEM_OIL_SPRAY|PREVENTIVE_SPRAY_SCHEDULE|SANITATION_PRUNE|TRICHODERMA_APPLICATION
anthracnose,severe,flowering,clay_loam,SKIP_FERTILIZER_TREAT_FIRST,AVOID_SPRAY_DURING_FLOWERING|CHLOROTHALONIL_SPRAY|CONSULT_EXTENSION_OFFICER|DRAINAGE_MOISTURE_CONTROL|FRUIT_BAGGING|INCREASE_SPRAY_FREQUENCY|MANCOZEB_75WP|NEEM_OIL_SPRAY|SANITATION_PRUNE|TRICHODERMA_APPLICATION
mosaic,severe,vegetative,red_laterite,SKIP_FERTILIZER_TREAT_FIRST,APHID_CONTROL_DIMETHOATE|CONSULT_EXTENSION_OFFICER|INCREASE_SPRAY_FREQUENCY|REFLECTIVE_MULCH|REMOVE_INFECTED_PLANTS|SANITATION_PRUNE|VECTOR_CONTROL_MINERAL_OIL|WEED_MANAGEMENT
anthracnose,moderate,flowering,sandy_loam,REDUCE_N_INCREASE_K,AVOID_SPRAY_DURING_FLOWERING|CHLOROTHALONIL_SPRAY|DRAINAGE_MOISTURE_CONTROL|FRUIT_BAGGING|MANCOZEB_75WP|MONITOR_CLOSELY_3DAYS|NEEM_OIL_SPRAY|SANITATION_PRUNE|TRICHODERMA_APPLICATION
mites,moderate,vegetative,red_laterite,REDUCE_N_INCREASE_K,ABAMECTIN_1.8EC|MONITOR_CLOSELY_3DAYS|NEEM_OIL_SPRAY|PROPARGITE_SPRAY|REMOVE_HEAVILY_INFESTED_LEAVES|SULPHUR_DUST_APPLICATION|WATER_SPRAY_TO_DISLODGE
anthracnose,severe,vegetative,sandy_loam,SKIP_FERTILIZER_TREAT_FIRST,CHLOROTHALONIL_SPRAY|CONSULT_EXTENSION_OFFICER|DRAINAGE_MOISTURE_CONTROL|FRUIT_BAGGING|INCREASE_SPRAY_FREQUENCY|MANCOZEB_75WP|NEEM_OIL_SPRAY|SANITATION_PRUNE|TRICHODERMA_APPLICATION
leaf_curl,severe,flowering,sandy_loam,SKIP_FERTILIZER_TREAT_FIRST,AVOID_SPRAY_DURING_FLOWERING|CONSULT_EXTENSION_OFFICER|INCREASE_SPRAY_FREQUENCY|REFLECTIVE_MULCH|REMOVE_INFECTED_PLANTS|SANITATION_PRUNE|THRIPS_CONTROL_SPINOSAD|VECTOR_CONTROL_MINERAL_OIL|WEED_MANAGEMENT|WHITEFLY_CONTROL_IMIDACLOPRID
mites,severe,bearing,red_laterite,SKIP_FERTILIZER_TREAT_FIRST,ABAMECTIN_1.8EC|CONSULT_EXTENSION_OFFICER|INCREASE_SPRAY_FREQUENCY|NEEM_OIL_SPRAY|PREHARVEST_INTERVAL_CHECK|PROPARGITE_SPRAY|REMOVE_HEAVILY_INFESTED_LEAVES|SULPHUR_DUST_APPLICATION|WATER_SPRAY_TO_DISLODGE
mosaic,mild,bearing,sandy_loam,POTASSIUM_BOOST,APHID_CONTROL_DIMETHOATE|PREHARVEST_INTERVAL_CHECK|PREVENTIVE_SPRAY_SCHEDULE|REFLECTIVE_MULCH|REMOVE_INFECTED_PLANTS|SANITATION_PRUNE|VECTOR_CONTROL_MINERAL_OIL|WEED_MANAGEMENT
anthracnose,severe,flowering,clay_loam,SKIP_FERTILIZER_TREAT_FIRST,AVOID_SPRAY_DURING_FLOWERING|CHLOROTHALONIL_SPRAY|CONSULT_EXTENSION_OFFICER|DRAINAGE_MOISTURE_CONTROL|FRUIT_BAGGING|INCREASE_SPRAY_FREQUENCY|MANCOZEB_75WP|NEEM_OIL_SPRAY|SANITATION_PRUNE|TRICHODERMA_APPLICATION
mites,moderate,bearing,red_laterite,POTASSIUM_BOOST,ABAMECTIN_1.8EC|MONITOR_CLOSELY_3DAYS|NEEM_OIL_SPRAY|PREHARVEST_INTERVAL_CHECK|PROPARGITE_SPRAY|REMOVE_HEAVILY_INFESTED_LEAVES|SULPHUR_DUST_APPLICATION|WATER_SPRAY_TO_DISLODGE
anthracnose,moderate,flowering,clay_loam,REDUCE_N_INCREASE_K,AVOID_SPRAY_DURING_FLOWERING|CHLOROTHALONIL_SPRAY|DRAINAGE_MOISTURE_CONTROL|FRUIT_BAGGING|MANCOZEB_75WP|MONITOR_CLOSELY_3DAYS|NEEM_OIL_SPRAY|SANITATION_PRUNE|TRICHODERMA_APPLICATION
anthracnose,moderate,flowering,clay_loam,REDUCE_N_INCREASE_K,AVOID_SPRAY_DURING_FLOWERING|CHLOROTHALONIL_SPRAY|DRAINAGE_MOISTURE_CONTROL|FRUIT_BAGGING|MANCOZEB_75WP|MONITOR_CLOSELY_3DAYS|NEEM_OIL_SPRAY|SANITATION_PRUNE|TRICHODERMA_APPLICATION
mosaic,severe,vegetative,clay_loam,SKIP_FERTILIZER_TREAT_FIRST,APHID_CONTROL_DIMETHOATE|CONSULT_EXTENSION_OFFICER|INCREASE_SPRAY_FREQUENCY|REFLECTIVE_MULCH|REMOVE_INFECTED_PLANTS|SANITATION_PRUNE|VECTOR_CONTROL_MINERAL_OIL|WEED_MANAGEMENT
mites,severe,vegetative,clay_loam,SKIP_FERTILIZER_TREAT_FIRST,ABAMECTIN_1.8EC|CONSULT_EXTENSION_OFFICER|INCREASE_SPRAY_FREQUENCY|NEEM_OIL_SPRAY|PROPARGITE_SPRAY|REMOVE_HEAVILY_INFESTED_LEAVES|SULPHUR_DUST_APPLICATION|WATER_SPRAY_TO_DISLODGE
anthracnose,moderate,vegetative,clay_loam,REDUCE_N_INCREASE_K,CHLOROTHALONIL_SPRAY|DRAINAGE_MOISTURE_CONTROL|FRUIT_BAGGING|MANCOZEB_75WP|MONITOR_CLOSELY_3DAYS|NEEM_OIL_SPRAY|SANITATION_PRUNE|TRICHODERMA_APPLICATION
anthracnose,severe,bearing,sandy_loam,SKIP_FERTILIZER_TREAT_FIRST,CHLOROTHALONIL_SPRAY|CONSULT_EXTENSION_OFFICER|DRAINAGE_MOISTURE_CONTROL|FRUIT_BAGGING|INCREASE_SPRAY_FREQUENCY|MANCOZEB_75WP|NEEM_OIL_SPRAY|PREHARVEST_INTERVAL_CHECK|SANITATION_PRUNE|TRICHODERMA_APPLICATION
mosaic,moderate,bearing,clay_loam,REDUCE_N_INCREASE_K,APHID_CONTROL_DIMETHOATE|MONITOR_CLOSELY_3DAYS|PREHARVEST_INTERVAL_CHECK|REFLECTIVE_MULCH|REMOVE_INFECTED_PLANTS|SANITATION_PRUNE|VECTOR_CONTROL_MINERAL_OIL|WEED_MANAGEMENT
leaf_curl,mild,bearing,sandy_loam,POTASSIUM_BOOST,PREHARVEST_INTERVAL_CHECK|PREVENTIVE_SPRAY_SCHEDULE|REFLECTIVE_MULCH|REMOVE_INFECTED_PLANTS|SANITATION_PRUNE|THRIPS_CONTROL_SPINOSAD|VECTOR_CONTROL_MINERAL_OIL|WEED_MANAGEMENT|WHITEFLY_CONTROL_IMIDACLOPRID
leaf_curl,mild,flowering,sandy_loam,REDUCE_N_INCREASE_K,AVOID_SPRAY_DURING_FLOWERING|PREVENTIVE_SPRAY_SCHEDULE|REFLECTIVE_MULCH|REMOVE_INFECTED_PLANTS|SANITATION_PRUNE|THRIPS_CONTROL_SPINOSAD|VECTOR_CONTROL_MINERAL_OIL|WEED_MANAGEMENT|WHITEFLY_CONTROL_IMIDACLOPRID
mites,moderate,vegetative,clay_loam,REDUCE_N_INCREASE_K,ABAMECTIN_1.8EC|MONITOR_CLOSELY_3DAYS|NEEM_OIL_SPRAY|PROPARGITE_SPRAY|REMOVE_HEAVILY_INFESTED_LEAVES|SULPHUR_DUST_APPLICATION|WATER_SPRAY_TO_DISLODGE
mites,moderate,bearing,sandy_loam,POTASSIUM_BOOST,ABAMECTIN_1.8EC|MONITOR_CLOSELY_3DAYS|NEEM_OIL_SPRAY|PREHARVEST_INTERVAL_CHECK|PROPARGITE_SPRAY|REMOVE_HEAVILY_INFESTED_LEAVES|SULPHUR_DUST_APPLICATION|WATER_SPRAY_TO_DISLODGE
leaf_curl,moderate,bearing,sandy_loam,POTASSIUM_BOOST,MONITOR_CLOSELY_3DAYS|PREHARVEST_INTERVAL_CHECK|REFLECTIVE_MULCH|REMOVE_INFECTED_PLANTS|SANITATION_PRUNE|THRIPS_CONTROL_SPINOSAD|VECTOR_CONTROL_MINERAL_OIL|WEED_MANAGEMENT|WHITEFLY_CONTROL_IMIDACLOPRID
anthracnose,severe,bearing,clay_loam,SKIP_FERTILIZER_TREAT_FIRST,CHLOROTHALONIL_SPRAY|CONSULT_EXTENSION_OFFICER|DRAINAGE_MOISTURE_CONTROL|FRUIT_BAGGING|INCREASE_SPRAY_FREQUENCY|MANCOZEB_75WP|NEEM_OIL_SPRAY|PREHARVEST_INTERVAL_CHECK|SANITATION_PRUNE|TRICHODERMA_APPLICATION
mosaic,severe,vegetative,sandy_loam,SKIP_FERTILIZER_TREAT_FIRST,APHID_CONTROL_DIMETHOATE|CONSULT_EXTENSION_OFFICER|INCREASE_SPRAY_FREQUENCY|REFLECTIVE_MULCH|REMOVE_INFECTED_PLANTS|SANITATION_PRUNE|VECTOR_CONTROL_MINERAL_OIL|WEED_MANAGEMENT
mosaic,severe,flowering,red_laterite,SKIP_FERTILIZER_TREAT_FIRST,APHID_CONTROL_DIMETHOATE|AVOID_SPRAY_DURING_FLOWERING|CONSULT_EXTENSION_OFFICER|INCREASE_SPRAY_FREQUENCY|REFLECTIVE_MULCH|REMOVE_INFECTED_PLANTS|SANITATION_PRUNE|VECTOR_CONTROL_MINERAL_OIL|WEED_MANAGEMENT
leaf_curl,moderate,bearing,clay_loam,POTASSIUM_BOOST,MONITOR_CLOSELY_3DAYS|PREHARVEST_INTERVAL_CHECK|REFLECTIVE_MULCH|REMOVE_INFECTED_PLANTS|SANITATION_PRUNE|THRIPS_CONTROL_SPINOSAD|VECTOR_CONTROL_MINERAL_OIL|WEED_MANAGEMENT|WHITEFLY_CONTROL_IMIDACLOPRID
mites,mild,bearing,clay_loam,POTASSIUM_BOOST,ABAMECTIN_1.8EC|NEEM_OIL_SPRAY|PREHARVEST_INTERVAL_CHECK|PREVENTIVE_SPRAY_SCHEDULE|PROPARGITE_SPRAY|REMOVE_HEAVILY_INFESTED_LEAVES|SULPHUR_DUST_APPLICATION|WATER_SPRAY_TO_DISLODGE
mites,mild,vegetative,clay_loam,BALANCED_NPK,ABAMECTIN_1.8EC|NEEM_OIL_SPRAY|PREVENTIVE_SPRAY_SCHEDULE|PROPARGITE_SPRAY|REMOVE_HEAVILY_INFESTED_LEAVES|SULPHUR_DUST_APPLICATION|WATER_SPRAY_TO_DISLODGE
leaf_curl,moderate,flowering,red_laterite,REDUCE_N_INCREASE_K,AVOID_SPRAY_DURING_FLOWERING|MONITOR_CLOSELY_3DAYS|REFLECTIVE_MULCH|REMOVE_INFECTED_PLANTS|SANITATION_PRUNE|THRIPS_CONTROL_SPINOSAD|VECTOR_CONTROL_MINERAL_OIL|WEED_MANAGEMENT|WHITEFLY_CONTROL_IMIDACLOPRID
mites,moderate,bearing,clay_loam,POTASSIUM_BOOST,ABAMECTIN_1.8EC|MONITOR_CLOSELY_3DAYS|NEEM_OIL_SPRAY|PREHARVEST_INTERVAL_CHECK|PROPARGITE_SPRAY|REMOVE_HEAVILY_INFESTED_LEAVES|SULPHUR_DUST_APPLICATION|WATER_SPRAY_TO_DISLODGE
leaf_curl,moderate,flowering,sandy_loam,REDUCE_N_INCREASE_K,AVOID_SPRAY_DURING_FLOWERING|MONITOR_CLOSELY_3DAYS|REFLECTIVE_MULCH|REMOVE_INFECTED_PLANTS|SANITATION_PRUNE|THRIPS_CONTROL_SPINOSAD|VECTOR_CONTROL_MINERAL_OIL|WEED_MANAGEMENT|WHITEFLY_CONTROL_IMIDACLOPRID
mosaic,moderate,vegetative,clay_loam,REDUCE_N_INCREASE_K,APHID_CONTROL_DIMETHOATE|MONITOR_CLOSELY_3DAYS|REFLECTIVE_MULCH|REMOVE_INFECTED_PLANTS|SANITATION_PRUNE|VECTOR_CONTROL_MINERAL_OIL|WEED_MANAGEMENT
anthracnose,severe,flowering,sandy_loam,SKIP_FERTILIZER_TREAT_FIRST,AVOID_SPRAY_DURING_FLOWERING|CHLOROTHALONIL_SPRAY|CONSULT_EXTENSION_OFFICER|DRAINAGE_MOISTURE_CONTROL|FRUIT_BAGGING|INCREASE_SPRAY_FREQUENCY|MANCOZEB_75WP|NEEM_OIL_SPRAY|SANITATION_PRUNE|TRICHODERMA_APPLICATION
anthracnose,severe,bearing,clay_loam,SKIP_FERTILIZER_TREAT_FIRST,CHLOROTHALONIL_SPRAY|CONSULT_EXTENSION_OFFICER|DRAINAGE_MOISTURE_CONTROL|FRUIT_BAGGING|INCREASE_SPRAY_FREQUENCY|MANCOZEB_75WP|NEEM_OIL_SPRAY|PREHARVEST_INTERVAL_CHECK|SANITATION_PRUNE|TRICHODERMA_APPLICATION
mosaic,moderate,bearing,clay_loam,REDUCE_N_INCREASE_K,APHID_CONTROL_DIMETHOATE|MONITOR_CLOSELY_3DAYS|PREHARVEST_INTERVAL_CHECK|REFLECTIVE_MULCH|REMOVE_INFECTED_PLANTS|SANITATION_PRUNE|VECTOR_CONTROL_MINERAL_OIL|WEED_MANAGEMENT
mites,moderate,vegetative,red_laterite,REDUCE_N_INCREASE_K,ABAMECTIN_1.8EC|MONITOR_CLOSELY_3DAYS|NEEM_OIL_SPRAY|PROPARGITE_SPRAY|REMOVE_HEAVILY_INFESTED_LEAVES|SULPHUR_DUST_APPLICATION|WATER_SPRAY_TO_DISLODGE
leaf_curl,severe,flowering,red_laterite,SKIP_FERTILIZER_TREAT_FIRST,AVOID_SPRAY_DURING_FLOWERING|CONSULT_EXTENSION_OFFICER|INCREASE_SPRAY_FREQUENCY|REFLECTIVE_MULCH|REMOVE_INFECTED_PLANTS|SANITATION_PRUNE|THRIPS_CONTROL_SPINOSAD|VECTOR_CONTROL_MINERAL_OIL|WEED_MANAGEMENT|WHITEFLY_CONTROL_IMIDACLOPRID
mosaic,mild,vegetative,sandy_loam,BALANCED_NPK_PLUS_ORGANIC,APHID_CONTROL_DIMETHOATE|PREVENTIVE_SPRAY_SCHEDULE|REFLECTIVE_MULCH|REMOVE_INFECTED_PLANTS|SANITATION_PRUNE|VECTOR_CONTROL_MINERAL_OIL|WEED_MANAGEMENT
anthracnose,severe,bearing,sandy_loam,SKIP_FERTILIZER_TREAT_FIRST,CHLOROTHALONIL_SPRAY|CONSULT_EXTENSION_OFFICER|DRAINAGE_MOISTURE_CONTROL|FRUIT_BAGGING|INCREASE_SPRAY_FREQUENCY|MANCOZEB_75WP|NEEM_OIL_SPRAY|PREHARVEST_INTERVAL_CHECK|SANITATION_PRUNE|TRICHODERMA_APPLICATION
mites,moderate,bearing,sandy_loam,POTASSIUM_BOOST,ABAMECTIN_1.8EC|MONITOR_CLOSELY_3DAYS|NEEM_OIL_SPRAY|PREHARVEST_INTERVAL_CHECK|PROPARGITE_SPRAY|REMOVE_HEAVILY_INFESTED_LEAVES|SULPHUR_DUST_APPLICATION|WATER_SPRAY_TO_DISLODGE
mites,moderate,vegetative,clay_loam,REDUCE_N_INCREASE_K,ABAMECTIN_1.8EC|MONITOR_CLOSELY_3DAYS|NEEM_OIL_SPRAY|PROPARGITE_SPRAY|REMOVE_HEAVILY_INFESTED_LEAVES|SULPHUR_DUST_APPLICATION|WATER_SPRAY_TO_DISLODGE
leaf_curl,moderate,bearing,red_laterite,POTASSIUM_BOOST,MONITOR_CLOSELY_3DAYS|PREHARVEST_INTERVAL_CHECK|REFLECTIVE_MULCH|REMOVE_INFECTED_PLANTS|SANITATION_PRUNE|THRIPS_CONTROL_SPINOSAD|VECTOR_CONTROL_MINERAL_OIL|WEED_MANAGEMENT|WHITEFLY_CONTROL_IMIDACLOPRID
mites,mild,vegetative,clay_loam,BALANCED_NPK,ABAMECTIN_1.8EC|NEEM_OIL_SPRAY|PREVENTIVE_SPRAY_SCHEDULE|PROPARGITE_SPRAY|REMOVE_HEAVILY_INFESTED_LEAVES|SULPHUR_DUST_APPLICATION|WATER_SPRAY_TO_DISLODGE
mites,severe,vegetative,sandy_loam,SKIP_FERTILIZER_TREAT_FIRST,ABAMECTIN_1.8EC|CONSULT_EXTENSION_OFFICER|INCREASE_SPRAY_FREQUENCY|NEEM_OIL_SPRAY|PROPARGITE_SPRAY|REMOVE_HEAVILY_INFESTED_LEAVES|SULPHUR_DUST_APPLICATION|WATER_SPRAY_TO_DISLODGE
leaf_curl,mild,flowering,red_laterite,REDUCE_N_INCREASE_K,AVOID_SPRAY_DURING_FLOWERING|PREVENTIVE_SPRAY_SCHEDULE|REFLECTIVE_MULCH|REMOVE_INFECTED_PLANTS|SANITATION_PRUNE|THRIPS_CONTROL_SPINOSAD|VECTOR_CONTROL_MINERAL_OIL|WEED_MANAGEMENT|WHITEFLY_CONTROL_IMIDACLOPRID
mites,moderate,flowering,clay_loam,POTASSIUM_BOOST,ABAMECTIN_1.8EC|AVOID_SPRAY_DURING_FLOWERING|MONITOR_CLOSELY_3DAYS|NEEM_OIL_SPRAY|PROPARGITE_SPRAY|REMOVE_HEAVILY_INFESTED_LEAVES|SULPHUR_DUST_APPLICATION|WATER_SPRAY_TO_DISLODGE
anthracnose,mild,bearing,clay_loam,POTASSIUM_BOOST,CHLOROTHALONIL_SPRAY|DRAINAGE_MOISTURE_CONTROL|FRUIT_BAGGING|MANCOZEB_75WP|NEEM_OIL_SPRAY|PREHARVEST_INTERVAL_CHECK|PREVENTIVE_SPRAY_SCHEDULE|SANITATION_PRUNE|TRICHODERMA_APPLICATION
anthracnose,mild,bearing,clay_loam,POTASSIUM_BOOST,CHLOROTHALONIL_SPRAY|DRAINAGE_MOISTURE_CONTROL|FRUIT_BAGGING|MANCOZEB_75WP|NEEM_OIL_SPRAY|PREHARVEST_INTERVAL_CHECK|PREVENTIVE_SPRAY_SCHEDULE|SANITATION_PRUNE|TRICHODERMA_APPLICATION
mites,mild,vegetative,clay_loam,BALANCED_NPK,ABAMECTIN_1.8EC|NEEM_OIL_SPRAY|PREVENTIVE_SPRAY_SCHEDULE|PROPARGITE_SPRAY|REMOVE_HEAVILY_INFESTED_LEAVES|SULPHUR_DUST_APPLICATION|WATER_SPRAY_TO_DISLODGE
